date,state,cases
02-11-2020,al,194892
03-11-2020,al,195929
04-11-2020,al,197777
05-11-2020,al,199158
06-11-2020,al,200714
07-11-2020,al,202482
12-03-2020,ak,1
13-03-2020,ak,1
14-03-2020,ak,1
15-03-2020,ak,1
16-03-2020,ak,3
17-03-2020,ak,6
18-03-2020,ak,9
19-03-2020,ak,12
20-03-2020,ak,14
21-03-2020,ak,21
22-03-2020,ak,22
23-03-2020,ak,36
24-03-2020,ak,42
25-03-2020,ak,59
26-03-2020,ak,69
27-03-2020,ak,85
28-03-2020,ak,102
29-03-2020,ak,114
30-03-2020,ak,120
31-03-2020,ak,133
01-04-2020,ak,143
02-04-2020,ak,146
03-04-2020,ak,156
04-04-2020,ak,169
05-04-2020,ak,183
06-04-2020,ak,189
07-04-2020,ak,211
08-04-2020,ak,224
09-04-2020,ak,233
10-04-2020,ak,244
11-04-2020,ak,255
12-04-2020,ak,270
13-04-2020,ak,275
14-04-2020,ak,283
15-04-2020,ak,291
16-04-2020,ak,298
17-04-2020,ak,307
18-04-2020,ak,312
19-04-2020,ak,317
20-04-2020,ak,319
21-04-2020,ak,327
22-04-2020,ak,333
23-04-2020,ak,335
24-04-2020,ak,337
25-04-2020,ak,337
26-04-2020,ak,339
27-04-2020,ak,343
28-04-2020,ak,349
29-04-2020,ak,353
30-04-2020,ak,353
01-05-2020,ak,362
02-05-2020,ak,363
03-05-2020,ak,366
04-05-2020,ak,368
05-05-2020,ak,369
06-05-2020,ak,370
07-05-2020,ak,373
08-05-2020,ak,376
09-05-2020,ak,377
10-05-2020,ak,378
11-05-2020,ak,380
12-05-2020,ak,383
13-05-2020,ak,383
14-05-2020,ak,387
15-05-2020,ak,388
16-05-2020,ak,392
17-05-2020,ak,396
18-05-2020,ak,399
19-05-2020,ak,399
20-05-2020,ak,402
21-05-2020,ak,402
22-05-2020,ak,404
23-05-2020,ak,409
24-05-2020,ak,409
25-05-2020,ak,412
26-05-2020,ak,416
27-05-2020,ak,417
28-05-2020,ak,430
29-05-2020,ak,436
30-05-2020,ak,441
31-05-2020,ak,469
01-06-2020,ak,476
02-06-2020,ak,497
03-06-2020,ak,516
04-06-2020,ak,542
05-06-2020,ak,565
06-06-2020,ak,579
07-06-2020,ak,588
08-06-2020,ak,607
09-06-2020,ak,620
10-06-2020,ak,642
11-06-2020,ak,666
12-06-2020,ak,688
13-06-2020,ak,722
14-06-2020,ak,734
15-06-2020,ak,738
16-06-2020,ak,751
17-06-2020,ak,776
18-06-2020,ak,795
19-06-2020,ak,821
20-06-2020,ak,845
21-06-2020,ak,859
22-06-2020,ak,869
23-06-2020,ak,905
24-06-2020,ak,926
25-06-2020,ak,971
26-06-2020,ak,1001
27-06-2020,ak,1027
28-06-2020,ak,1060
29-06-2020,ak,1085
30-06-2020,ak,1132
01-07-2020,ak,1174
02-07-2020,ak,1224
03-07-2020,ak,1284
04-07-2020,ak,1339
05-07-2020,ak,1371
06-07-2020,ak,1401
07-07-2020,ak,1423
08-07-2020,ak,1472
09-07-2020,ak,1521
10-07-2020,ak,1579
11-07-2020,ak,1656
12-07-2020,ak,1772
13-07-2020,ak,1843
14-07-2020,ak,1897
15-07-2020,ak,1958
16-07-2020,ak,2034
17-07-2020,ak,2083
18-07-2020,ak,2157
19-07-2020,ak,2275
20-07-2020,ak,2412
21-07-2020,ak,2523
22-07-2020,ak,2617
23-07-2020,ak,2682
24-07-2020,ak,2746
25-07-2020,ak,2866
26-07-2020,ak,3100
27-07-2020,ak,3204
28-07-2020,ak,3348
29-07-2020,ak,3440
30-07-2020,ak,3557
31-07-2020,ak,3675
01-08-2020,ak,3825
02-08-2020,ak,3982
03-08-2020,ak,4062
04-08-2020,ak,4123
05-08-2020,ak,4181
06-08-2020,ak,4221
07-08-2020,ak,4286
08-08-2020,ak,4371
09-08-2020,ak,4471
10-08-2020,ak,4537
11-08-2020,ak,4587
12-08-2020,ak,4653
13-08-2020,ak,4748
14-08-2020,ak,4867
15-08-2020,ak,4952
16-08-2020,ak,5058
17-08-2020,ak,5108
18-08-2020,ak,5175
19-08-2020,ak,5245
20-08-2020,ak,5330
21-08-2020,ak,5401
22-08-2020,ak,5492
23-08-2020,ak,5556
24-08-2020,ak,5626
25-08-2020,ak,5621
26-08-2020,ak,5671
27-08-2020,ak,5752
28-08-2020,ak,5874
29-08-2020,ak,5985
30-08-2020,ak,6036
31-08-2020,ak,6075
01-09-2020,ak,6109
02-09-2020,ak,6181
03-09-2020,ak,6287
04-09-2020,ak,6416
05-09-2020,ak,6514
06-09-2020,ak,6603
07-09-2020,ak,6637
08-09-2020,ak,6670
09-09-2020,ak,6735
10-09-2020,ak,6860
11-09-2020,ak,6968
12-09-2020,ak,7074
13-09-2020,ak,7136
14-09-2020,ak,7213
15-09-2020,ak,7256
16-09-2020,ak,7308
17-09-2020,ak,7413
18-09-2020,ak,7528
19-09-2020,ak,7613
20-09-2020,ak,7704
21-09-2020,ak,7775
22-09-2020,ak,7821
23-09-2020,ak,7875
24-09-2020,ak,8015
25-09-2020,ak,8133
26-09-2020,ak,8244
27-09-2020,ak,8359
28-09-2020,ak,8477
29-09-2020,ak,8602
30-09-2020,ak,8707
01-10-2020,ak,8838
02-10-2020,ak,8964
03-10-2020,ak,9111
04-10-2020,ak,9300
05-10-2020,ak,9511
06-10-2020,ak,9656
07-10-2020,ak,9784
08-10-2020,ak,9919
09-10-2020,ak,10099
10-10-2020,ak,10350
11-10-2020,ak,10608
12-10-2020,ak,10805
13-10-2020,ak,10960
14-10-2020,ak,11103
15-10-2020,ak,11268
16-10-2020,ak,11496
17-10-2020,ak,11710
18-10-2020,ak,11934
19-10-2020,ak,12138
20-10-2020,ak,12349
21-10-2020,ak,12559
22-10-2020,ak,12790
23-10-2020,ak,13067
24-10-2020,ak,13439
25-10-2020,ak,13968
26-10-2020,ak,14316
27-10-2020,ak,14699
28-10-2020,ak,15053
29-10-2020,ak,15417
30-10-2020,ak,15803
31-10-2020,ak,16247
01-11-2020,ak,16597
02-11-2020,ak,16948
03-11-2020,ak,17339
04-11-2020,ak,17750
